periode_update,jumlah,lag_1,lag_2
2020-03-01,9007.228571428572,8832.633333333333,8992.485714285714
2020-04-01,8981.8,9007.228571428572,8832.633333333333
2020-05-01,8934.285714285714,8981.8,9007.228571428572
2020-06-01,8926.457142857143,8934.285714285714,8981.8
2020-07-01,8952.060606060606,8926.457142857143,8934.285714285714
2020-08-01,8838.71875,8952.060606060606,8926.457142857143
2020-09-01,8931.875,8838.71875,8952.060606060606
2020-10-01,9138.142857142857,8931.875,8838.71875
2020-11-01,8965.8,9138.142857142857,8931.875
2020-12-01,9017.566666666668,8965.8,9138.142857142857
2021-01-01,8955.214285714286,9017.566666666668,8965.8
2021-02-01,8889.48275862069,8955.214285714286,9017.566666666668
2021-03-01,8628.103448275862,8889.48275862069,8955.214285714286
2021-04-01,8513.107142857143,8628.103448275862,8889.48275862069
2021-05-01,8513.107142857143,8513.107142857143,8628.103448275862
2021-06-01,8522.518518518518,8513.107142857143,8513.107142857143
2021-07-01,8407.814814814816,8522.518518518518,8513.107142857143
2021-08-01,8388.17857142857,8407.814814814816,8522.518518518518
2021-09-01,8429.103448275862,8388.17857142857,8407.814814814816
2021-10-01,8445.62962962963,8429.103448275862,8388.17857142857
2021-11-01,8467.620689655172,8445.62962962963,8429.103448275862
2021-12-01,8561.827586206897,8467.620689655172,8445.62962962963
2022-01-01,8696.827586206897,8561.827586206897,8467.620689655172
2022-02-01,8767.518518518518,8696.827586206897,8561.827586206897
2022-03-01,8652.75,8767.518518518518,8696.827586206897
2022-04-01,8722.107142857143,8652.75,8767.518518518518
2022-05-01,8596.17857142857,8722.107142857143,8652.75
2022-06-01,8443.5,8596.17857142857,8722.107142857143
2022-07-01,8496.172413793103,8443.5,8596.17857142857
2022-08-01,8660.586206896553,8496.172413793103,8443.5
2022-09-01,8991.620689655172,8660.586206896553,8496.172413793103
2022-10-01,9205.107142857143,8991.620689655172,8660.586206896553
2022-11-01,9381.67857142857,9205.107142857143,8991.620689655172
2022-12-01,9678.37037037037,9381.67857142857,9205.107142857143
2023-01-01,9909.964285714286,9678.37037037037,9381.67857142857
2023-02-01,10293.0,9909.964285714286,9678.37037037037
2023-03-01,10067.413793103447,10293.0,9909.964285714286
2023-04-01,10272.92857142857,10067.413793103447,10293.0
2023-05-01,10286.310344827587,10272.92857142857,10067.413793103447
2023-06-01,10256.275862068966,10286.310344827587,10272.92857142857
2023-07-01,10300.892857142857,10256.275862068966,10286.310344827587
2023-08-01,10547.137931034482,10300.892857142857,10256.275862068966
2023-09-01,11525.172413793103,10547.137931034482,10300.892857142857
2023-10-01,11992.148148148148,11525.172413793103,10547.137931034482
2023-11-01,12326.785714285714,11992.148148148148,11525.172413793103
2023-12-01,12379.62962962963,12326.785714285714,11992.148148148148
2024-01-01,12506.857142857143,12379.62962962963,12326.785714285714
2024-02-01,13255.392857142857,12506.857142857143,12379.62962962963
2024-03-01,13143.275862068966,13255.392857142857,12506.857142857143
2024-04-01,12313.884615384615,13143.275862068966,13255.392857142857
2024-05-01,11987.74074074074,12313.884615384615,13143.275862068966
2024-06-01,12110.392857142857,11987.74074074074,12313.884615384615
2024-07-01,12314.75,12110.392857142857,11987.74074074074
2024-08-01,12208.07142857143,12314.75,12110.392857142857
2024-09-01,12322.148148148148,12208.07142857143,12314.75
2024-10-01,12311.407407407407,12322.148148148148,12208.07142857143
2024-11-01,12182.478260869566,12311.407407407407,12322.148148148148
2024-12-01,12241.40909090909,12182.478260869566,12311.407407407407
2025-01-01,12224.655172413793,12241.40909090909,12182.478260869566
2025-02-01,12279.448275862069,12224.655172413793,12241.40909090909
2025-03-01,12351.51724137931,12279.448275862069,12224.655172413793
2025-04-01,12296.310344827587,12351.51724137931,12279.448275862069
2025-05-01,12235.586206896553,12296.310344827587,12351.51724137931
2025-06-01,12377.48275862069,12235.586206896553,12296.310344827587
2025-07-01,12667.137931034482,12377.48275862069,12235.586206896553
